P,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0,605.0,610.0,615.0,620.0,625.0,630.0,635.0,640.0,645.0,650.0,655.0,660.0,665.0,670.0,675.0,680.0,685.0,690.0,695.0,700.0,705.0,710.0,715.0,720.0,725.0,730.0,735.0,740.0,745.0,750.0,755.0,760.0,765.0,770.0
10000,0.0016821184304554088,0.0014336805010828353,0.0012392789178069406,0.0010840138457865467,0.000957832523428414,0.000853750767247212,0.0007667902218381379,0.0006933210036679605,0.0006306426300296045,1.0412397112196608e-05,1.0584844777793074e-05,1.0759134684444388e-05,1.0935165812743753e-05,1.1112844589883948e-05,1.1292084129115663e-05,1.1472803549734945e-05,1.1654927377535154e-05,1.1838385018346553e-05,1.2023110295725386e-05,1.2209041044242701e-05,1.239611875078129e-05,1.2584288237286957e-05,1.277349737937529e-05,1.2963696856025962e-05,1.3154839926302886e-05,1.334688222963441e-05,1.3539781606688924e-05,1.3733497938303473e-05,1.3927993000278688e-05,1.4123230332154559e-05,1.4319175118336586e-05,1.4515794080158908e-05,1.4713055377655682e-05,1.491092851997045e-05,1.5109384283468281e-05,1.5308394636732174e-05,1.5507932671725356e-05,1.570797254048775e-05,1.590848939680977e-05,1.6109459342391666e-05,1.6310859377053245e-05,1.651266735260782e-05,1.6714861930057644e-05,1.691742253980521e-05,1.7120329344608367e-05,1.732356320503577e-05,1.752710564720473e-05,1.7730938832606472e-05,1.793504552984295e-05,1.813940908811768e-05,1.8344013412338164e-05,1.8548842939701485e-05,1.8753882617647048e-05,1.89591178830712e-05,1.9164534642708603e-05,1.9370119254593413e-05,1.957585851052189e-05,1.9781739619444326e-05,1.998775019172116e-05,2.019387822418317e-05,2.0400112085941326e-05,2.0606440504896085e-05,2.0812852554900097e-05,2.1019337643532325e-05,2.1225885500444584e-05,2.143248616624492e-05,2.1639129981884726e-05,2.184580757851941e-05,2.2052509867814247e-05,2.225922803266973e-05,2.2465953518342106e-05,2.2672678023936735e-05,2.2879393494253883e-05,2.3086092111967212e-05,2.3292766290117382e-05,2.3499408664903936e-05,2.3706012088759894e-05,2.3912569623694493e-05,2.4119074534890606e-05,2.4325520284543996e-05,2.4531900525932584e-05,2.473820909770461e-05,2.4944440018375157e-05,2.515058748102125e-05,2.53566458481664e-05,2.5562609646845705e-05,2.5768473563843614e-05,2.597423244109638e-05,2.6179881271252155e-05,2.6385415193381817e-05,2.6590829488833938e-05,2.679611957722806e-05,2.7001281012580113e-05,2.7206309479554857e-05,2.741120078984001e-05,2.7615950878636974e-05,2.782055580126385e-05,2.802501172986606e-05,2.8229314950230365e-05,2.843346185869838e-05
20000,0.0016820994029117537,0.0014336683716430119,0.0012392713380440783,0.0010840093394170426,0.000957830134063819,0.0008537498592789946,0.0007667903635046488,0.0006933218960964482,0.0006306440629346428,0.0005767114383374101,0.0005299495461844948,0.0004891287534885052,1.0919139887016008e-05,1.1097762065738624e-05,1.1277877571236514e-05,1.145941168560576e-05,1.164229435467464e-05,1.182645979451291e-05,1.2011846122005562e-05,1.2198395019074292e-05,1.2386051431202182e-05,1.2574763297840209e-05,1.2764481311425777e-05,1.2955158701723603e-05,1.3146751042463739e-05,1.3339216077590996e-05,1.353251356477521e-05,1.372660513413737e-05,1.3921454160414494e-05,1.4117025647019048e-05,1.4313286120648756e-05,1.4510203535275255e-05,1.4707747184487947e-05,1.490588762129748e-05,1.5104596584612935e-05,1.5303846931702364e-05,1.550361257602842e-05,1.570386842992247e-05,1.590459035162267e-05,1.610575509625552e-05,1.6307340270387847e-05,1.650932428981726e-05,1.6711686340305505e-05,1.6914406340990648e-05,1.7117464910242366e-05,1.732084333374878e-05,1.7524523534645212e-05,1.7728488045514626e-05,1.793271998210597e-05,1.8137203018632405e-05,1.8341921364524256e-05,1.8546859742523703e-05,1.8752003368018862e-05,1.8957337929524236e-05,1.9162849570223288e-05,1.9368524870496063e-05,1.9574350831362096e-05,1.9780314858774456e-05,1.998640474870677e-05,2.0192608672979585e-05,2.0398915165777138e-05,2.0605313110809758e-05,2.0811791729080284e-05,2.101834056721682e-05,2.1224949486336616e-05,2.1431608651408928e-05,2.1638308521086925e-05,2.184503983798122e-05,2.2051793619349324e-05,2.2258561148177644e-05,2.246533396463379e-05,2.2672103857868932e-05,2.2878862858151432e-05,2.3085603229313716e-05,2.3292317461496317e-05,2.3498998264173545e-05,2.37056385594465e-05,2.3912231475590015e-05,2.4118770340841015e-05,2.43252486774166e-05,2.4531660195750722e-05,2.4737998788939186e-05,2.494425852738332e-05,2.5150433653623053e-05,2.5356518577350992e-05,2.5562507870599197e-05,2.5768396263091213e-05,2.5974178637752044e-05,2.6179850026369308e-05,2.638540560539921e-05,2.6590840691911093e-05,2.679615073966508e-05,2.700133133531704e-05,2.7206378194746015e-05,2.7411287159499066e-05,2.761605419334876e-05,2.7820675378959255e-05,2.802514691465643e-05,2.822946511129814e-05,2.843362638924098e-05
30000,0.001682080377202367,0.0014336562434277302,0.0012392637591200006,0.0010840048336339617,0.0009578277451152033,0.000853748951608567,0.0007667905053852649,0.0006933227886786427,0.0006306454959490798,0.0005767132617400524,0.0005299516516022313,0.0004891310618368322,0.0004532785911126239,0.00042161533476059806,1.126363153183622e-05,1.1445986270909648e-05,1.1629632652789265e-05,1.1814509952716914e-05,1.2000560748523695e-05,1.2187730690981976e-05,1.2375968276717658e-05,1.256522463542685e-05,1.2755453334691533e-05,1.2946610202436798e-05,1.3138653165892599e-05,1.3331542105571186e-05,1.352523872274452e-05,1.3719706419001229e-05,1.3914910186595314e-05,1.4110816508437138e-05,1.430739326670683e-05,1.45046096591883e-05,1.4702436122526282e-05,1.4900844261701763e-05,1.5099806785101737e-05,1.5299297444630877e-05,1.5499290980374814e-05,1.56997630693797e-05,1.5900690278160708e-05,1.610205001859436e-05,1.6303820506886846e-05,1.6505980725343074e-05,1.67085103866903e-05,1.6911389900735353e-05,1.7114600343157466e-05,1.7318123426258295e-05,1.7521941471508576e-05,1.7726037383746837e-05,1.793039462689907e-05,1.813499720110127e-05,1.833982962111755e-05,1.8544876895956463e-05,1.8750124509597346e-05,1.8955558402746e-05,1.9161164955546677e-05,1.9366930971183228e-05,1.9572843660308553e-05,1.977889062624618e-05,1.9985059850912952e-05,2.0191339681415693e-05,2.0397718817278637e-05,2.060418629826208e-05,2.0810731492735388e-05,2.1017344086570904e-05,2.1224014072527373e-05,2.1430731740094275e-05,2.1637487665770253e-05,2.1844272703751084e-05,2.20510779770041e-05,2.225789486870803e-05,2.2464715014038256e-05,2.26715302922791e-05,2.2878332819246165e-05,2.308511494000242e-05,2.3291869221853346e-05,2.3498588447607052e-05,2.3705265609086277e-05,2.3911893900879995e-05,2.4118466714323308e-05,2.4324977631694623e-05,2.4531420420620178e-05,2.4737789028676255e-05,2.4944077578180242e-05,2.5150280361162025e-05,2.53563918345078e-05,2.5562406615268755e-05,2.576831947612763e-05,2.5974125341016333e-05,2.6179819280878356e-05,2.6385396509570053e-05,2.65908523798949e-05,2.679618237976564e-05,2.7001382128488914e-05,2.7206447373167757e-05,2.7411373985217295e-05,2.761615795698908e-05,2.782079539850028e-05,2.80252825342634e-05,2.822961570021291e-05,2.8433791340725248e-05
40000,0.0016820613533276329,0.0014336441164362582,0.001239256181034803,0.0010840003284373072,0.0009578253565824696,0.0008537480442359236,0.0007667906474800018,0.0006933236814145576,0.0006306469290729062,0.0005767150852190941,0.0005299537570714429,0.0004891333702175995,0.00045328104420315024,0.00042161788943239243,0.00039351365099754175,1.1432525674353234e-05,1.1616941092314066e-05,1.1802534602755739e-05,1.1989253484909002e-05,1.2177047515271003e-05,1.2365868852740823e-05,1.2555671900656167e-05,1.2746413166714896e-05,1.2938051128835073e-05,1.3130546109736632e-05,1.3323860160873212e-05,1.3517956955474443e-05,1.371280169012942e-05,1.3908360994239479e-05,1.4104602846662175e-05,1.430149649890106e-05,1.449901240424384e-05,1.4697122152302816e-05,1.489579840846252e-05,1.5095014857786874e-05,1.5294746152982428e-05,1.549496786605411e-05,1.569565644332629e-05,1.5896789163534364e-05,1.609834409872154e-05,1.6300300077701623e-05,1.6502636651872055e-05,1.6705334063182746e-05,1.6908373214084557e-05,1.7111735639298757e-05,1.7315403479263322e-05,1.7519359455125607e-05,1.772358684516334e-05,1.7928069462526045e-05,1.8132791634199472e-05,1.833773818110391e-05,1.8542894399245204e-05,1.874824604184442e-05,1.8953779302378565e-05,1.9159480798470316e-05,1.936533755657004e-05,1.957133699737812e-05,1.9777466921959597e-05,1.9983715498507445e-05,2.0190071249713725e-05,2.0396523040711422e-05,2.0603060067552636e-05,2.0809671846191097e-05,2.1016348201939718e-05,2.1223079259375877e-05,2.142985543266921e-05,2.1636667416308297e-05,2.1843506176204684e-05,2.2050362941153643e-05,2.2257229194633155e-05,2.246409666692317e-05,2.267095732752883e-05,2.2877803377892424e-05,2.308462724437947e-05,2.3291421571525716e-05,2.3498179215532257e-05,2.370489323799716e-05,2.3911556899872285e-05,2.411816365563505e-05,2.4324707147665266e-05,2.453118120081779e-05,2.473757981718235e-05,2.4943897171022273e-05,2.5150127603884464e-05,2.535626561987324e-05,2.5562305881081145e-05,2.5768243203170196e-05,2.5974072551097385e-05,2.6179789034978513e-05,2.6385387906084897e-05,2.6590864552967507e-05,2.6796214497703764e-05,2.700143339226191e-05,2.7206517014978684e-05,2.7411461267146002e-05,2.7616262169702188e-05,2.782091586002438e-05,2.8025418588817918e-05,2.8229766717099373e-05,2.8433956713269855e-05
50000,0.001682042331287069,0.0014336319906689584,0.001239248603788488,0.0010839958238270375,0.0009578229684656582,0.0008537471371610904,0.0007667907897888448,0.0006933245743041842,0.0006306483623061276,0.0005767169087745116,0.0005299558625921414,0.0004891356786308136,0.0004532834973113824,0.00042162044411035173,0.00039351627512921965,0.0003684560681740382,1.160421832306252e-05,1.1790532773627846e-05,1.1977923600175968e-05,1.2166344925358109e-05,1.235575271198222e-05,1.254610473622787e-05,1.2737360519807674e-05,1.2929481247962787e-05,1.3122429684542732e-05,1.331617008888459e-05,1.3510668136414832e-05,1.3705890843676962e-05,1.3901806497942595e-05,1.4098384591316657e-05,1.429559575913581e-05,1.4493411722412206e-05,1.4691805234058828e-05,1.489075002863328e-05,1.5090220775345191e-05,1.5290193034085414e-05,1.5490643214249918e-05,1.5691548536146775e-05,1.589288699479027e-05,1.6094637325900983e-05,1.6296778973945408e-05,1.64992920620617e-05,1.670215736373118e-05,1.6905356276066542e-05,1.7108870794598615e-05,1.7312683489453467e-05,1.7516777482820298e-05,1.7721136427619593e-05,1.792574448728746e-05,1.8130586316600167e-05,1.833564704346813e-05,1.8540912251634976e-05,1.874636796422215e-05,1.895200062806453e-05,1.9157797098786573e-05,1.9363744626572656e-05,1.9569830842588798e-05,1.9776043746016058e-05,1.9982371691659303e-05,2.018880337809722e-05,2.039532783634238e-05,2.0601934418982292e-05,2.0808612789774322e-05,2.1015352913669592e-05,2.122214504724231e-05,2.1428979729503084e-05,2.163584777307568e-05,2.1842740255718674e-05,2.204964851217397e-05,2.2256564126326176e-05,2.2463478923657014e-05,2.267038496398046e-05,2.287727453444524e-05,2.3084140142791697e-05,2.3290974510851296e-05,2.3497770568277533e-05,2.3704521446497657e-05,2.391122047287523e-05,2.4117861165074275e-05,2.4324437225616165e-05,2.4530942536620814e-05,2.4737371154724387e-05,2.4943717306166096e-05,2.514997538203698e-05,2.535613993368404e-05,2.5562205668263406e-05,2.5768167444436505e-05,2.597402026820359e-05,2.617975928886921e-05,2.6385379795134482e-05,2.6590877211311258e-05,2.679624709365366e-05,2.7001485126802348e-05,2.720658712033753e-05,2.7411549005436604e-05,2.7616366831632468e-05,2.7821036763669166e-05,2.8025555078451055e-05,2.8229918162082307e-05,2.843412250699357e-05
60000,0.001682023311080463,0.001433619866125906,0.0012392410273808325,0.001083991319803105,0.0009578205807648101,0.0008537462303840242,0.0007667909323118148,0.0006933254673475375,0.0006306497956487582,0.0005767187324063421,0.0005299579681643316,0.0004891379870764675,0.0004532859504373299,0.0004216229987944823,0.00039351889925791144,0.00036845873776013933,0.0003460181119695292,1.1778503354122462e-05,1.1966570297163169e-05,1.2155622321579653e-05,1.2345619389452391e-05,1.2536522774648933e-05,1.2728295099979027e-05,1.2920900322718715e-05,1.3114303697994738e-05,1.3308471732943232e-05,1.3503372137510675e-05,1.3698973774674482e-05,1.3895246611449943e-05,1.409216167137457e-05,1.4289690988817896e-05,1.4487807565280342e-05,1.468648532773925e-05,1.4885699089037989e-05,1.5085424510275416e-05,1.528563806512996e-05,1.5486317006038458e-05,1.5687439332142356e-05,1.5888983758910438e-05,1.6090929689346625e-05,1.6293257186692907e-05,1.64959469485399e-05,1.6698980282261355e-05,1.6902339081692475e-05,1.7106005804976598e-05,1.7309963453508867e-05,1.7514195551909794e-05,1.771868612896622e-05,1.7923419699480655e-05,1.81283812469745e-05,1.8333556207193888e-05,1.8538930452370432e-05,1.8744490276192747e-05,1.8950222379447037e-05,1.915611385628865e-05,1.9362152181108266e-05,1.956832519595977e-05,1.9774621098518158e-05,1.998102843053885e-05,2.0187536066791022e-05,2.0394133204439708e-05,2.0600809352853176e-05,2.080755432381324e-05,2.1014358222108073e-05,2.1221211436488e-05,2.142810463096634e-05,2.1635028736448068e-05,2.184197494267069e-05,2.2048934690442005e-05,2.22558996641611e-05,2.2462861784609084e-05,2.266981320199711e-05,2.28767462892604e-05,2.3083653635586576e-05,2.3290528040168583e-05,2.349736250617185e-05,2.3704150234906803e-05,2.3910884620197664e-05,2.4117559242939467e-05,2.4324167865835398e-05,2.45307044283069e-05,2.4737163041569663e-05,2.4943537983868755e-05,2.5149823695866508e-05,2.5356014776177226e-05,2.5562105977042863e-05,2.5768092200144395e-05,2.5973968492543572e-05,2.6179730042750103e-05,2.6385372176909773e-05,2.6590890355108672e-05,2.679628016778969e-05,2.7001537332276748e-05,2.7206657689403203e-05,2.741163720024067e-05,2.7616471942924412e-05,2.7821158109572327e-05,2.802569200329398e-05,2.8230070035286617e-05,2.8434288722015242e-05
70000,0.0016820042927080362,0.0014336077428066735,0.0012392334518119704,0.0010839868163656557,0.0009578181934798619,0.0008537453239047546,0.000766791075048896,0.0006933263605446257,0.0006306512291007945,0.0005767205561145729,0.0005299600737880048,0.0004891402955545825,0.00045328840358099766,0.0004216255534847984,0.00039352152338362743,0.0003684614073358942,0.0003460208090668829,0.00032584712541285614,1.1955192669965207e-05,1.2144879052719685e-05,1.2335468394308324e-05,1.2526925634565529e-05,1.2719216605248501e-05,1.2912308111059496e-05,1.3106167954525146e-05,1.3300764934140873e-05,1.349606882909811e-05,1.3692050376970487e-05,1.3888681247622822e-05,1.4085934015140819e-05,1.4283782128843457e-05,1.4482199884043131e-05,1.4681162392986788e-05,1.4880645556266936e-05,1.5080626034895291e-05,1.5281081223165822e-05,1.548198922238707e-05,1.568332881552978e-05,1.588507944281149e-05,1.6087221178221856e-05,1.6289734706979845e-05,1.649260130390467e-05,1.669580281267621e-05,1.6899321625956264e-05,1.710314066633932e-05,1.7307243368100116e-05,1.7511613659704305e-05,1.771623594704899e-05,1.7921095097399675e-05,1.8126176423991578e-05,1.833146567126375e-05,1.853694900069585e-05,1.8742612977218545e-05,1.8948444556169765e-05,1.9154431070770547e-05,1.936056022009507e-05,1.9566820057511374e-05,1.9773198979569738e-05,1.9979685715317725e-05,2.0186269316021286e-05,2.0392939145272906e-05,2.0599684869468714e-05,2.080649644863726e-05,2.1013364127603897e-05,2.1220278427475428e-05,2.1427230137430515e-05,2.163421030680215e-05,2.1841210237439352e-05,2.204822147633561e-05,2.225523580851283e-05,2.246224525014949e-05,2.2669242041942677e-05,2.2876218642694366e-05,2.3083167723112277e-05,2.3290082159816692e-05,2.3496955029544745e-05,2.3703779603544176e-05,2.3910549342148952e-05,2.4117257889529613e-05,2.4323899068611478e-05,2.4530466876154098e-05,2.4736955477985833e-05,2.4943359204387638e-05,2.5149672545620326e-05,2.535589014759012e-05,2.5562006807647108e-05,2.576801747051198e-05,2.597391722432618e-05,2.6179701296821072e-05,2.6385365051601922e-05,2.659090398454247e-05,2.679631372028641e-05,2.7001590008851747e-05,2.7206728722334734e-05,2.7411725851709906e-05,2.7616577503722663e-05,2.7821279897871716e-05,2.802582936347799e-05,2.8230222336837288e-05,2.8434455358453834e-05
80000,0.001681985276169677,0.0014335956207115618,0.001239225877081903,0.0010839823135144824,0.0009578158066107954,0.0008537444177232978,0.0007667912180001065,0.0006933272538954371,0.0006306526626622413,0.0005767223798992107,0.0005299621794631718,0.0004891426040651511,0.0004532908567423779,0.00042162810818130756,0.00039352414750637487,0.00036846407690132194,0.0003460235061478735,0.0003258498366370871,0.0003076479693145569,1.2134114387934422e-05,1.2325299197556421e-05,1.2517312915284462e-05,1.2710124723158332e-05,1.290370436484476e-05,1.309802225476466e-05,1.3293049531052214e-05,1.3488758079766013e-05,1.3685120543157497e-05,1.3882110318397194e-05,1.4079701550226929e-05,1.4277869119582998e-05,1.4476588629493812e-05,1.4675836389135535e-05,1.487558939667241e-05,1.5075825321338548e-05,1.527652248510029e-05,1.5477659844152707e-05,1.5679216970440292e-05,1.5881174033343864e-05,1.6083511781638944e-05,1.6286211525802597e-05,1.6489255120723803e-05,1.669262494885566e-05,1.6896303903834405e-05,1.7100275374580376e-05,1.7304523229888187e-05,1.7509031803507095e-05,1.7713785879708777e-05,1.7918770679335284e-05,1.812397184631841e-05,1.8329375434659174e-05,1.8534967895855087e-05,1.874073606676204e-05,1.8946667157876932e-05,1.9152748742027118e-05,1.935896874345232e-05,1.9565315427265114e-05,1.9771777389275902e-05,1.9978343546168856e-05,2.018500312601549e-05,2.0391745659112782e-05,2.0598560969133614e-05,2.0805439164577034e-05,2.101237063050701e-05,2.1219346020568224e-05,2.1426356249268262e-05,2.1633392484515694e-05,2.1840446140404274e-05,2.2047508870233573e-05,2.2254572559757117e-05,2.2461629320649182e-05,2.26686714841818e-05,2.2875691595104353e-05,2.3082682405717617e-05,2.3289636870135374e-05,2.3496548138726354e-05,2.370340955272991e-05,2.391021463903895e-05,2.4116957105144133e-05,2.4323630834233345e-05,2.4530229880440876e-05,2.473674846424095e-05,2.4943180967980474e-05,2.5149521931546013e-05,2.5355766048160348e-05,2.5561908160304026e-05,2.5767943255757623e-05,2.597386646376053e-05,2.617967305128221e-05,2.6385358419402294e-05,2.6590918099795557e-05,2.679634775131854e-05,2.700164315669418e-05,2.7206800219291336e-05,2.741181495999616e-05,2.7616683514171984e-05,2.782140212870526e-05,2.8025967159134474e-05,2.823037506685943e-05,2.8434622416428398e-05
90000,0.0016819662614654303,0.001433583499840601,0.0012392183031904552,0.0010839778112496901,0.0009578134201577162,0.0008537435118396105,0.0007667913611654433,0.0006933281473999721,0.0006306540963330987,0.0005767242037602564,0.0005299642851898438,0.00048914491260817,0.0004532933099214961,0.0004216306628839862,0.0003935267716261599,0.0003684667464564063,0.0003460262032125207,0.000325852547839972,0.000307650684737858,1.2123327476476313e-05,1.2315111214520572e-05,1.2507684189017638e-05,1.2701019127282804e-05,1.2895088828235153e-05,1.3089866394790027e-05,1.3285325359372027e-05,1.3481439756175092e-05,1.3678184164478301e-05,1.3875533734732934e-05,1.407346420352224e-05,1.4271951900864259e-05,1.4470973752013305e-05,1.4670507275204097e-05,1.4870530576364087e-05,1.5071022341551744e-05,1.5271961827695953e-05,1.5473328852080362e-05,1.5675103780918492e-05,1.5877267517291004e-05,1.6079801488658445e-05,1.6282687634117725e-05,1.6485908391534626e-05,1.6689446684656385e-05,1.6893285910285792e-05,1.709740992558018e-05,1.730180303552432e-05,1.75064499806144e-05,1.7711335924781515e-05,1.791644644357491e-05,1.812176751261996e-05,1.832728549636049e-05,1.85329871370916e-05,1.8738859544285844e-05,1.8944890184213283e-05,1.915106686985404e-05,1.935737775110029e-05,1.956381130524368e-05,1.9770356327743e-05,1.9977001923266476e-05,2.0183737497002415e-05,2.039055274623146e-05,2.0597437652153873e-05,2.0804382471964493e-05,2.1011377731168568e-05,2.1218414216131185e-05,2.1425482966853324e-05,2.1632575269967478e-05,2.1839682651946058e-05,2.2046796872515625e-05,2.2253909918270622e-05,2.246101399647992e-05,2.266810152907992e-05,2.287516514684828e-05,2.308219768375211e-05,2.3289192171465007e-05,2.3496141834047386e-05,2.3703040082784656e-05,2.3909880511178022e-05,2.4116656890082945e-05,2.432336316299039e-05,2.45299934414461e-05,2.4736542000603424e-05,2.4943003274905363e-05,2.5149371853891475e-05,2.5355642478125833e-05,2.5561810035241765e-05,2.5767869556099945e-05,2.5973816211055947e-05,2.6179645306333835e-05,2.6385352280502467e-05,2.659093270105103e-05,2.6796382261060993e-05,2.700169677597103e-05,2.7206872180432345e-05,2.741190452525141e-05,2.7616789974417266e-05,2.7821524802211044e-05,2.802610539039494e-05,2.8230528225478236e-05,2.8434789896058063e-05
